,,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,balanced_accuracy,holdout_repeats,holdout_std,cv_repeats,cv_folds,nested,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci,cv_precision_mean,cv_precision_std,cv_precision_ci,cv_recall_mean,cv_recall_std,cv_recall_ci,cv_f1_mean,cv_f1_std,cv_f1_ci,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci,cv_specificity_mean,cv_specificity_std,cv_specificity_ci,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_ci,cv_auc_mean,cv_auc_std,cv_auc_ci,cv_acc_mean,cv_acc_std,cv_acc_ci,best_params,single_split,per_class,confusion_matrix
diabetes,LogisticRegression,0.7575757575757577,0.6279932809875386,0.7901234567901234,0.69385503282095,0.8491975308641976,0.7361787491354231,0.7399999999999999,0.7650617283950618,3,"{'accuracy': 0.02390770782940964, 'precision': 0.04013725538630803, 'recall': 0.10292180247242633, 'f1': 0.03166544946441456, 'roc_auc': 0.028501812219609093, 'pr_auc': 0.044702604363251505, 'specificity': 0.0748331477354788, 'balanced_accuracy': 0.02555704653609691}",1,3,True,0.7604166666666666,0.024150048165353395,0.03347025913445813,0.635199507807616,0.04238781323752403,0.05874651195264741,0.7574282147315855,0.03727339285164395,0.05165828693272615,0.6887335485718236,0.014217230086200268,0.019704075615137564,0.7597291856429732,0.012119610908331357,0.01679692375490217,0.7620301565543611,0.054827875908801574,0.07598755919220955,0.8373510938804068,0.014609958238466567,0.020248369064813077,0.7154571924677636,0.01681520187877255,0.023304680819981653,0.8373510938804068,0.014609958238466567,0.020248369064813077,0.7604166666666666,0.024150048165353395,0.03347025913445813,"{'scaler__kind': 'standard', 'resampler__kind': 'smoteenn', 'clf__solver': 'newton-cg', 'clf__class_weight': 'balanced', 'clf__C': 2.0}","{'accuracy': 0.7272727272727273, 'precision': 0.5789473684210527, 'recall': 0.8148148148148148, 'f1': 0.676923076923077, 'specificity': 0.68, 'balanced_accuracy': 0.7474074074074074, 'roc_auc': 0.8283333333333334, 'pr_auc': 0.730177700631919}","{'0': {'support': 100, 'precision': 0.8717948717948718, 'recall': 0.68, 'f1': 0.7640449438202247}, '1': {'support': 54, 'precision': 0.5789473684210527, 'recall': 0.8148148148148148, 'f1': 0.676923076923077}}","[[68, 32], [10, 44]]"
diabetes,SVM,0.7662337662337663,0.6306249440415436,0.839506172839506,0.7167010693144614,0.848395061728395,0.7297254792961482,0.7266666666666667,0.7830864197530865,3,"{'accuracy': 0.0322503558998947, 'precision': 0.04932213451996489, 'recall': 0.05724455861417098, 'f1': 0.020295631327602894, 'roc_auc': 0.024712490956333776, 'pr_auc': 0.041490680172373305, 'specificity': 0.07408703590297624, 'balanced_accuracy': 0.01870543527819678}",1,3,True,0.7526041666666666,0.017566064535458385,0.024345323369494964,0.6206779634349728,0.02573036887840725,0.035660471900052004,0.7536412817311694,0.04894278960628931,0.06783124570475556,0.6796739686701659,0.025199217376591893,0.03492433347566074,0.7528456991826854,0.01981353566901414,0.027460159444449215,0.7520501166342015,0.032203482991541715,0.0446317503542438,0.8337449643828627,0.017907932676481594,0.024819128439841694,0.7036769486908515,0.02623844140207442,0.03636462449261846,0.8337449643828627,0.017907932676481594,0.024819128439841694,0.7526041666666666,0.017566064535458385,0.024345323369494964,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__estimator__kernel': 'rbf', 'clf__estimator__gamma': 0.03, 'clf__estimator__class_weight': None, 'clf__estimator__C': 10.0}","{'accuracy': 0.7467532467532467, 'precision': 0.6086956521739131, 'recall': 0.7777777777777778, 'f1': 0.6829268292682927, 'specificity': 0.73, 'balanced_accuracy': 0.7538888888888888, 'roc_auc': 0.8253703703703703, 'pr_auc': 0.7217130437629038}","{'0': {'support': 100, 'precision': 0.8588235294117647, 'recall': 0.73, 'f1': 0.7891891891891892}, '1': {'support': 54, 'precision': 0.6086956521739131, 'recall': 0.7777777777777778, 'f1': 0.6829268292682927}}","[[73, 27], [12, 42]]"
diabetes,RandomForest,0.7532467532467533,0.6294940934771444,0.7222222222222223,0.6704516019284226,0.8257407407407408,0.7141160588507857,0.77,0.7461111111111111,3,"{'accuracy': 0.009183204950474673, 'precision': 0.004933904996620657, 'recall': 0.0800091444247884, 'f1': 0.0314237201468046, 'roc_auc': 0.012401417385842207, 'pr_auc': 0.01702219799338002, 'specificity': 0.029439202887759516, 'balanced_accuracy': 0.025380956609050213}",1,3,True,0.7604166666666666,0.023509726673525765,0.032582818823196955,0.6332981922787747,0.039772355540217366,0.0551216725202501,0.7574698293799417,0.03213793435600232,0.04454090458025643,0.6885564078546533,0.02254468028078904,0.03124533276020799,0.7597860654005979,0.017824429989918303,0.024703399620645952,0.7621023014212539,0.04365552404528326,0.06050346949379745,0.8225631104711444,0.022013015216810143,0.030508482574971463,0.6858455950548806,0.016607820027797867,0.02301726423826799,0.8225631104711444,0.022013015216810143,0.030508482574971463,0.7604166666666666,0.023509726673525765,0.032582818823196955,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': 4, 'clf__class_weight': None}","{'accuracy': 0.7077922077922078, 'precision': 0.5633802816901409, 'recall': 0.7407407407407407, 'f1': 0.64, 'specificity': 0.69, 'balanced_accuracy': 0.7153703703703703, 'roc_auc': 0.8155555555555555, 'pr_auc': 0.70158707214529}","{'0': {'support': 100, 'precision': 0.8313253012048193, 'recall': 0.69, 'f1': 0.7540983606557377}, '1': {'support': 54, 'precision': 0.5633802816901409, 'recall': 0.7407407407407407, 'f1': 0.64}}","[[69, 31], [14, 40]]"
diabetes,XGBoost,0.7445887445887446,0.6044894366197183,0.7839506172839507,0.6819140717382735,0.8278395061728395,0.7039558760278085,0.7233333333333333,0.753641975308642,3,"{'accuracy': 0.013342887452313783, 'precision': 0.011066603215896042, 'recall': 0.05724455861417101, 'f1': 0.02688566719525986, 'roc_auc': 0.018852745214790828, 'pr_auc': 0.027935735937815176, 'specificity': 0.016996731711975962, 'balanced_accuracy': 0.022600855265698362}",1,3,True,0.7369791666666666,0.014381980491129247,0.01993240802705344,0.5959641561294587,0.021288858443698606,0.02950485249174916,0.7759051186017478,0.07214532726831127,0.09998832227899745,0.671887117567134,0.025567044878371126,0.03543411638445814,0.7459474129670355,0.020068395674254443,0.027813377390848184,0.7159897073323233,0.04415302528632671,0.06119297103613094,0.8261212679855157,0.023186331497984932,0.0321346159768062,0.7056149637648503,0.01674330036034305,0.023205030399513802,0.8261212679855157,0.023186331497984932,0.0321346159768062,0.7369791666666666,0.014381980491129247,0.01993240802705344,"{'scaler__kind': 'standard', 'resampler__kind': 'smote', 'clf__subsample': 0.8, 'clf__scale_pos_weight': 1.0, 'clf__reg_lambda': 0.0, 'clf__n_estimators': 200, 'clf__min_child_weight': 3, 'clf__max_depth': 3, 'clf__learning_rate': 0.02, 'clf__colsample_bytree': 0.8}","{'accuracy': 0.7402597402597403, 'precision': 0.6060606060606061, 'recall': 0.7407407407407407, 'f1': 0.6666666666666666, 'specificity': 0.74, 'balanced_accuracy': 0.7403703703703703, 'roc_auc': 0.8181481481481482, 'pr_auc': 0.696915468320108}","{'0': {'support': 100, 'precision': 0.8409090909090909, 'recall': 0.74, 'f1': 0.7872340425531915}, '1': {'support': 54, 'precision': 0.6060606060606061, 'recall': 0.7407407407407407, 'f1': 0.6666666666666666}}","[[74, 26], [14, 40]]"
diabetes,MLP,0.777056277056277,0.6698045267489712,0.7654320987654321,0.7064709704544585,0.8524074074074074,0.732570105771298,0.7833333333333333,0.7743827160493827,3,"{'accuracy': 0.03106645042079511, 'precision': 0.06443652260672383, 'recall': 0.09114088308786049, 'f1': 0.021861891093877258, 'roc_auc': 0.027265649412036394, 'pr_auc': 0.039995214023198354, 'specificity': 0.089566858950296, 'balanced_accuracy': 0.017507156635366755}",1,3,True,0.7421875,0.035516098169234,0.04922280075923487,0.6101637510983305,0.05078068648234716,0.07037844081935242,0.7349979192675821,0.04376800733646599,0.06065936338180982,0.6659790947549178,0.04236285362205674,0.05871191969047606,0.7405600663360493,0.03479581484971482,0.04822453900880404,0.7461222134045163,0.04327806144272894,0.05998033301661292,0.8227014902103198,0.031998371102066984,0.04434747977866264,0.6738345929341873,0.050310219013542594,0.06972640617381444,0.8227014902103198,0.031998371102066984,0.04434747977866264,0.7421875,0.035516098169234,0.04922280075923487,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__max_iter': 2000, 'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (64,), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}","{'accuracy': 0.7532467532467533, 'precision': 0.625, 'recall': 0.7407407407407407, 'f1': 0.6779661016949152, 'specificity': 0.76, 'balanced_accuracy': 0.7503703703703704, 'roc_auc': 0.8377777777777777, 'pr_auc': 0.7119848154514776}","{'0': {'support': 100, 'precision': 0.8444444444444444, 'recall': 0.76, 'f1': 0.8}, '1': {'support': 54, 'precision': 0.625, 'recall': 0.7407407407407407, 'f1': 0.6779661016949152}}","[[76, 24], [14, 40]]"
heart_disease,LogisticRegression,0.8251366120218581,0.8372183372183373,0.7738095238095238,0.8009365687526607,0.8874458874458875,0.8921754727836434,0.8686868686868688,0.8212481962481962,3,"{'accuracy': 0.04089243045654581, 'precision': 0.057163710060459026, 'recall': 0.08417937871268423, 'f1': 0.049536467392723986, 'roc_auc': 0.04658291617169313, 'pr_auc': 0.03594024725254094, 'specificity': 0.05150524761204833, 'balanced_accuracy': 0.04281925947231433}",1,3,True,0.8316831683168316,0.014002114478941547,0.019405940594059427,0.8492248062015504,0.009509956702624231,0.013180127551503468,0.7698119025593586,0.02676402627891329,0.03709304796840212,0.8073861161919694,0.01744174248224152,0.024173021794408826,0.826937376644438,0.014687002515105494,0.02035514698452055,0.8840628507295173,0.009682045713216469,0.013418630751964077,0.9067009907897975,0.01233567967547314,0.01709637978818137,0.9048442492037722,0.00642912594248828,0.0089103139600302,0.9067009907897975,0.01233567967547314,0.01709637978818137,0.8316831683168316,0.014002114478941547,0.019405940594059427,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__solver': 'lbfgs', 'clf__class_weight': None, 'clf__C': 0.5}","{'accuracy': 0.8524590163934426, 'precision': 0.8064516129032258, 'recall': 0.8928571428571429, 'f1': 0.847457627118644, 'specificity': 0.8181818181818182, 'balanced_accuracy': 0.8555194805194806, 'roc_auc': 0.9491341991341992, 'pr_auc': 0.9373212217371448}","{'0': {'support': 33, 'precision': 0.9, 'recall': 0.8181818181818182, 'f1': 0.8571428571428571}, '1': {'support': 28, 'precision': 0.8064516129032258, 'recall': 0.8928571428571429, 'f1': 0.847457627118644}}","[[27, 6], [3, 25]]"
heart_disease,SVM,0.8087431693989071,0.815745675549322,0.7619047619047619,0.7846899552913587,0.8968253968253969,0.9004199863286807,0.8484848484848485,0.8051948051948052,3,"{'accuracy': 0.04089243045654581, 'precision': 0.06904351774219705, 'recall': 0.07338588098772587, 'f1': 0.04805007268999194, 'roc_auc': 0.043256961866879086, 'pr_auc': 0.03613523073397414, 'specificity': 0.06546202725664507, 'balanced_accuracy': 0.041184832326026065}",1,3,True,0.8415841584158416,0.00808412456364086,0.011204025025858095,0.838126159554731,0.016778988011909392,0.02325449096115108,0.81313598519889,0.039946148273709285,0.055362536960181355,0.8244912981755087,0.012620785515056005,0.017491516322330227,0.8395085088732945,0.010053971463544382,0.013934093543467412,0.8658810325476991,0.022493217769765057,0.031174009358784983,0.9063053185779056,0.014778085690644654,0.020481381825429013,0.9024881160164356,0.01339070064731935,0.018558564255814865,0.9063053185779056,0.014778085690644654,0.020481381825429013,0.8415841584158416,0.00808412456364086,0.011204025025858095,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__estimator__kernel': 'rbf', 'clf__estimator__gamma': 0.01, 'clf__estimator__class_weight': None, 'clf__estimator__C': 2.0}","{'accuracy': 0.8688524590163934, 'precision': 0.8333333333333334, 'recall': 0.8928571428571429, 'f1': 0.8620689655172413, 'specificity': 0.8484848484848485, 'balanced_accuracy': 0.8706709956709957, 'roc_auc': 0.9372294372294372, 'pr_auc': 0.9223714335586847}","{'0': {'support': 33, 'precision': 0.9032258064516129, 'recall': 0.8484848484848485, 'f1': 0.875}, '1': {'support': 28, 'precision': 0.8333333333333334, 'recall': 0.8928571428571429, 'f1': 0.8620689655172413}}","[[28, 5], [3, 25]]"
heart_disease,RandomForest,0.7868852459016393,0.800705467372134,0.7142857142857143,0.752504638218924,0.8759018759018758,0.8683066538966554,0.8484848484848485,0.7813852813852814,3,"{'accuracy': 0.0708277671957143, 'precision': 0.07585824750478504, 'recall': 0.10514001031342673, 'f1': 0.08501887760944282, 'roc_auc': 0.0548886149159558, 'pr_auc': 0.048268308884383083, 'specificity': 0.06546202725664504, 'balanced_accuracy': 0.07264933680575306}",1,3,True,0.811881188118812,0.04850474738184511,0.0672241501551485,0.8105293399411045,0.03560176446719477,0.049341528190841005,0.7704286154794943,0.1019413119034408,0.1412834501427528,0.7871836977580329,0.06043941150074934,0.083764750737284,0.8088955647543375,0.05190329025638361,0.07193429027211772,0.8473625140291806,0.032024117953028126,0.04438316309356393,0.8912668155498867,0.038454629047526834,0.05329539677633805,0.8685354618776358,0.05356941058825109,0.07424341524259281,0.8912668155498867,0.038454629047526834,0.05329539677633805,0.811881188118812,0.04850474738184511,0.0672241501551485,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': 4, 'clf__class_weight': None}","{'accuracy': 0.9016393442622951, 'precision': 0.8928571428571429, 'recall': 0.8928571428571429, 'f1': 0.8928571428571429, 'specificity': 0.9090909090909091, 'balanced_accuracy': 0.900974025974026, 'roc_auc': 0.9545454545454546, 'pr_auc': 0.9442101881618707}","{'0': {'support': 33, 'precision': 0.9090909090909091, 'recall': 0.9090909090909091, 'f1': 0.9090909090909091}, '1': {'support': 28, 'precision': 0.8928571428571429, 'recall': 0.8928571428571429, 'f1': 0.8928571428571429}}","[[30, 3], [3, 25]]"
heart_disease,XGBoost,0.7868852459016393,0.7755331088664422,0.7738095238095238,0.7665909090909091,0.8802308802308803,0.8716117249298954,0.7979797979797979,0.785894660894661,3,"{'accuracy': 0.023183828891362238, 'precision': 0.06275545929941312, 'recall': 0.11040022018447265, 'f1': 0.03510462520443426, 'roc_auc': 0.009448629764580649, 'pr_auc': 0.013228596655432611, 'specificity': 0.08689217441457196, 'balanced_accuracy': 0.025801848362837186}",1,3,True,0.8052805280528054,0.044523886347300465,0.06170695824347239,0.7951231774761186,0.06331948073066973,0.0877563230435003,0.7847671908726488,0.06837313443221786,0.09476032973568133,0.7869245771631546,0.04650314031699117,0.06445006429464342,0.8041681072208361,0.04415601300171625,0.06119711179840285,0.8235690235690235,0.06952026266211171,0.09635016835016831,0.8915665027290065,0.018363443755670682,0.02545043458692211,0.8840168728402427,0.016771268936487754,0.023243792868423825,0.8915665027290065,0.018363443755670682,0.02545043458692211,0.8052805280528054,0.044523886347300465,0.06170695824347239,"{'scaler__kind': 'minmax', 'resampler__kind': 'smoteenn', 'clf__subsample': 0.7, 'clf__scale_pos_weight': 1.0, 'clf__reg_lambda': 0.5, 'clf__n_estimators': 700, 'clf__min_child_weight': 3, 'clf__max_depth': 5, 'clf__learning_rate': 0.02, 'clf__colsample_bytree': 0.8}","{'accuracy': 0.8524590163934426, 'precision': 0.8518518518518519, 'recall': 0.8214285714285714, 'f1': 0.8363636363636363, 'specificity': 0.8787878787878788, 'balanced_accuracy': 0.850108225108225, 'roc_auc': 0.935064935064935, 'pr_auc': 0.938129801344087}","{'0': {'support': 33, 'precision': 0.8529411764705882, 'recall': 0.8787878787878788, 'f1': 0.8656716417910447}, '1': {'support': 28, 'precision': 0.8518518518518519, 'recall': 0.8214285714285714, 'f1': 0.8363636363636363}}","[[29, 4], [5, 23]]"
heart_disease,MLP,0.7377049180327869,0.7005555555555555,0.7619047619047619,0.7218814112265832,0.8387445887445888,0.8464819871447297,0.7171717171717171,0.7395382395382395,3,"{'accuracy': 0.035413883597857146, 'precision': 0.04217102158744077, 'recall': 0.14384578539993537, 'f1': 0.057085367550516505, 'roc_auc': 0.06748828428481103, 'pr_auc': 0.05369678770838947, 'specificity': 0.086892174414572, 'balanced_accuracy': 0.041344100387163}",1,3,True,0.8382838283828383,0.02333685746490258,0.03234323432343238,0.8522313949147983,0.012768861748704993,0.017696739511863926,0.7843046561825471,0.06346489854821098,0.08795786185628228,0.8153097798259088,0.0322839808441365,0.04474331468602762,0.8341837534560321,0.02621358215001774,0.036330171327037634,0.8840628507295173,0.017723647596472433,0.02456372234953957,0.9032741849578111,0.014177790281140011,0.019649414834068266,0.9016387821779245,0.008370145820129328,0.011600430263110022,0.9032741849578111,0.014177790281140011,0.019649414834068266,0.8382838283828383,0.02333685746490258,0.03234323432343238,"{'scaler__kind': 'minmax', 'resampler__kind': 'smote', 'clf__max_iter': 2000, 'clf__learning_rate_init': 0.005, 'clf__hidden_layer_sizes': (64, 32), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}","{'accuracy': 0.8524590163934426, 'precision': 0.7878787878787878, 'recall': 0.9285714285714286, 'f1': 0.8524590163934426, 'specificity': 0.7878787878787878, 'balanced_accuracy': 0.8582251082251082, 'roc_auc': 0.9383116883116883, 'pr_auc': 0.9325037400250248}","{'0': {'support': 33, 'precision': 0.9285714285714286, 'recall': 0.7878787878787878, 'f1': 0.8524590163934426}, '1': {'support': 28, 'precision': 0.7878787878787878, 'recall': 0.9285714285714286, 'f1': 0.8524590163934426}}","[[26, 7], [2, 26]]"
