threshold,accuracy,precision,recall,specificity,f1,n_predicted_positive,n_test
0.1,0.459,0.459,1.0,0.0,0.6292,61,61
0.15,0.459,0.459,1.0,0.0,0.6292,61,61
0.2,0.4754,0.4667,1.0,0.0303,0.6364,60,61
0.25,0.623,0.549,1.0,0.303,0.7089,51,61
0.3,0.7869,0.6829,1.0,0.6061,0.8116,41,61
0.35,0.8033,0.7,1.0,0.6364,0.8235,40,61
0.4,0.7869,0.6923,0.9643,0.6364,0.806,39,61
0.45,0.8361,0.7647,0.9286,0.7576,0.8387,34,61
0.5,0.8361,0.8,0.8571,0.8182,0.8276,30,61
0.55,0.8525,0.8519,0.8214,0.8788,0.8364,27,61
0.6,0.7869,0.8947,0.6071,0.9394,0.7234,19,61
0.65,0.7541,0.8824,0.5357,0.9394,0.6667,17,61
0.7,0.7377,1.0,0.4286,1.0,0.6,12,61
0.75,0.6066,1.0,0.1429,1.0,0.25,4,61
0.8,0.541,0.0,0.0,1.0,0.0,0,61
0.85,0.541,0.0,0.0,1.0,0.0,0,61
0.9,0.541,0.0,0.0,1.0,0.0,0,61
